Variable,Label_ID,FS_Label_Name,Hemisphere,FS_Structure,Feature_Family
label1035_log-sigma-3-0-mm-3D_firstorder_10Percentile,1035,ctx-lh-insula,LH,insula,First-order
label17_wavelet-HLL_glcm_DifferenceVariance,17,Left-Hippocampus,LH,Hippocampus,Texture – GLCM
label17_wavelet-HLL_glcm_Imc1,17,Left-Hippocampus,LH,Hippocampus,Texture – GLCM
label17_wavelet-HLL_glcm_DifferenceEntropy,17,Left-Hippocampus,LH,Hippocampus,Texture – GLCM
label41_wavelet-LLH_glcm_DifferenceEntropy,41,Right-Cerebral-White-Matter,RH,Cerebral-White-Matter,Texture – GLCM
label41_wavelet-LLH_glcm_DifferenceVariance,41,Right-Cerebral-White-Matter,RH,Cerebral-White-Matter,Texture – GLCM
label50_wavelet-HHH_firstorder_10Percentile,50,Right-Caudate,RH,Caudate,First-order
label41_wavelet-LLH_gldm_LargeDependenceLowGrayLevelEmphasis,41,Right-Cerebral-White-Matter,RH,Cerebral-White-Matter,Texture – GLDM
label2_wavelet-LLH_glcm_DifferenceEntropy,2,Left-Cerebral-White-Matter,LH,Cerebral-White-Matter,Texture – GLCM
label41_wavelet-LLH_glrlm_LongRunLowGrayLevelEmphasis,41,Right-Cerebral-White-Matter,RH,Cerebral-White-Matter,Texture – GLRLM
label2_wavelet-LLH_glcm_DifferenceVariance,2,Left-Cerebral-White-Matter,LH,Cerebral-White-Matter,Texture – GLCM
label2002_wavelet-HHH_firstorder_TotalEnergy,2002,ctx-rh-caudalanteriorcingulate,RH,caudalanteriorcingulate,First-order
label2002_wavelet-HHH_firstorder_Energy,2002,ctx-rh-caudalanteriorcingulate,RH,caudalanteriorcingulate,First-order
label17_wavelet-LLH_gldm_DependenceEntropy,17,Left-Hippocampus,LH,Hippocampus,Texture – GLDM
label1014_wavelet-LLH_glcm_SumAverage,1014,ctx-lh-medialorbitofrontal,LH,medialorbitofrontal,Texture – GLCM
label1014_wavelet-LLH_glcm_JointAverage,1014,ctx-lh-medialorbitofrontal,LH,medialorbitofrontal,Texture – GLCM
label50_wavelet-LHH_firstorder_90Percentile,50,Right-Caudate,RH,Caudate,First-order
label50_wavelet-HHH_firstorder_90Percentile,50,Right-Caudate,RH,Caudate,First-order
label11_wavelet-LHH_firstorder_InterquartileRange,11,Left-Caudate,LH,Caudate,First-order
label2002_wavelet-LLH_gldm_DependenceVariance,2002,ctx-rh-caudalanteriorcingulate,RH,caudalanteriorcingulate,Texture – GLDM
label1014_wavelet-LLH_glcm_ClusterShade,1014,ctx-lh-medialorbitofrontal,LH,medialorbitofrontal,Texture – GLCM
label1012_wavelet-LLL_firstorder_Kurtosis,1012,ctx-lh-lateralorbitofrontal,LH,lateralorbitofrontal,First-order
label50_wavelet-LHH_firstorder_InterquartileRange,50,Right-Caudate,RH,Caudate,First-order
label50_wavelet-LHH_firstorder_10Percentile,50,Right-Caudate,RH,Caudate,First-order
label11_wavelet-LHH_firstorder_RobustMeanAbsoluteDeviation,11,Left-Caudate,LH,Caudate,First-order
label41_wavelet-LLH_gldm_DependenceNonUniformityNormalized,41,Right-Cerebral-White-Matter,RH,Cerebral-White-Matter,Texture – GLDM
label50_wavelet-HHH_firstorder_RobustMeanAbsoluteDeviation,50,Right-Caudate,RH,Caudate,First-order
label14_wavelet-LHL_firstorder_Kurtosis,14,3rd-Ventricle,Midline/Other,3rd-Ventricle,First-order
label50_wavelet-LHH_firstorder_RobustMeanAbsoluteDeviation,50,Right-Caudate,RH,Caudate,First-order
label1035_log-sigma-3-0-mm-3D_glcm_MaximumProbability,1035,ctx-lh-insula,LH,insula,Texture – GLCM
label1035_log-sigma-3-0-mm-3D_glcm_Autocorrelation,1035,ctx-lh-insula,LH,insula,Texture – GLCM
label1010_wavelet-HHH_glcm_JointEnergy,1010,ctx-lh-isthmuscingulate,LH,isthmuscingulate,Texture – GLCM
label2_wavelet-LLH_glrlm_LongRunLowGrayLevelEmphasis,2,Left-Cerebral-White-Matter,LH,Cerebral-White-Matter,Texture – GLRLM
label1010_wavelet-HHH_glcm_JointEntropy,1010,ctx-lh-isthmuscingulate,LH,isthmuscingulate,Texture – GLCM
label1035_log-sigma-3-0-mm-3D_glcm_SumSquares,1035,ctx-lh-insula,LH,insula,Texture – GLCM
label8_log-sigma-1-0-mm-3D_glcm_DifferenceVariance,8,Left-Cerebellum-Cortex,LH,Cerebellum-Cortex,Texture – GLCM
