Classifier,Fold,Repeat,train_auc,train_f1,val_auc,val_mcc,val_kappa,val_f1_binary,val_f1_macro,val_accuracy,val_sensitivity,val_specificity,val_ppv,val_npv,val_balanced_accuracy,per_class_precision,per_class_recall,per_class_f1,per_class_accuracy
Gradient Boosting,1,1,1.0,1.0,0.8582417582417583,0.5262457637432161,0.5213004484304933,0.7083333333333334,0.7595720720720721,0.7704918032786885,0.6538461538461539,0.8571428571428571,0.7727272727272727,0.7692307692307693,0.7554945054945055,"[0.7692307692307693, 0.7727272727272727]","[0.8571428571428571, 0.6538461538461539]","[0.8108108108108109, 0.7083333333333334]","[0.8571428571428571, 0.6538461538461539]"
Gradient Boosting,2,1,1.0,1.0,0.7318681318681318,0.2928221486582099,0.2926559911651021,0.5882352941176471,0.6462303231151616,0.6557377049180327,0.5769230769230769,0.7142857142857143,0.6,0.6944444444444444,0.6456043956043955,"[0.6944444444444444, 0.6]","[0.7142857142857143, 0.5769230769230769]","[0.704225352112676, 0.5882352941176471]","[0.7142857142857143, 0.5769230769230769]"
Gradient Boosting,3,1,1.0,1.0,0.8725274725274725,0.5262457637432161,0.5213004484304933,0.7083333333333334,0.7595720720720721,0.7704918032786885,0.6538461538461539,0.8571428571428571,0.7727272727272727,0.7692307692307693,0.7554945054945055,"[0.7692307692307693, 0.7727272727272727]","[0.8571428571428571, 0.6538461538461539]","[0.8108108108108109, 0.7083333333333334]","[0.8571428571428571, 0.6538461538461539]"
Gradient Boosting,4,1,1.0,1.0,0.8384615384615385,0.35545354488523373,0.35359732292247636,0.6122448979591837,0.675985462678222,0.6885245901639344,0.5769230769230769,0.7714285714285715,0.6521739130434783,0.7105263157894737,0.6741758241758242,"[0.7105263157894737, 0.6521739130434783]","[0.7714285714285715, 0.5769230769230769]","[0.7397260273972602, 0.6122448979591837]","[0.7714285714285715, 0.5769230769230769]"
Gradient Boosting,5,1,1.0,1.0,0.7319004524886877,0.19654964600345454,0.18632075471698106,0.46511627906976744,0.5832074901842343,0.6166666666666667,0.38461538461538464,0.7941176470588235,0.5882352941176471,0.627906976744186,0.5893665158371041,"[0.627906976744186, 0.5882352941176471]","[0.7941176470588235, 0.38461538461538464]","[0.7012987012987013, 0.46511627906976744]","[0.7941176470588235, 0.38461538461538464]"
Gradient Boosting,6,2,1.0,1.0,0.8054945054945055,0.3369781934191248,0.33623503808487487,0.6296296296296297,0.6677559912854031,0.6721311475409836,0.6538461538461539,0.6857142857142857,0.6071428571428571,0.7272727272727273,0.6697802197802198,"[0.7272727272727273, 0.6071428571428571]","[0.6857142857142857, 0.6538461538461539]","[0.7058823529411765, 0.6296296296296297]","[0.6857142857142857, 0.6538461538461539]"
Gradient Boosting,7,2,1.0,1.0,0.7692307692307693,0.2793643296657431,0.2769396551724137,0.6071428571428571,0.6369047619047619,0.639344262295082,0.6538461538461539,0.6285714285714286,0.5666666666666667,0.7096774193548387,0.6412087912087912,"[0.7096774193548387, 0.5666666666666667]","[0.6285714285714286, 0.6538461538461539]","[0.6666666666666666, 0.6071428571428571]","[0.6285714285714286, 0.6538461538461539]"
Gradient Boosting,8,2,1.0,1.0,0.856043956043956,0.6053025949948593,0.5812356979405033,0.7272727272727273,0.7867132867132867,0.8032786885245902,0.6153846153846154,0.9428571428571428,0.8888888888888888,0.7674418604651163,0.7791208791208791,"[0.7674418604651163, 0.8888888888888888]","[0.9428571428571428, 0.6153846153846154]","[0.8461538461538461, 0.7272727272727273]","[0.9428571428571428, 0.6153846153846154]"
Gradient Boosting,9,2,1.0,1.0,0.7549450549450549,0.35545354488523373,0.35359732292247636,0.6122448979591837,0.675985462678222,0.6885245901639344,0.5769230769230769,0.7714285714285715,0.6521739130434783,0.7105263157894737,0.6741758241758242,"[0.7105263157894737, 0.6521739130434783]","[0.7714285714285715, 0.5769230769230769]","[0.7397260273972602, 0.6122448979591837]","[0.7714285714285715, 0.5769230769230769]"
Gradient Boosting,10,2,1.0,1.0,0.829185520361991,0.5217732845620352,0.5205479452054794,0.72,0.76,0.7666666666666667,0.6923076923076923,0.8235294117647058,0.75,0.7777777777777778,0.7579185520361991,"[0.7777777777777778, 0.75]","[0.8235294117647058, 0.6923076923076923]","[0.8, 0.72]","[0.8235294117647058, 0.6923076923076923]"
Gradient Boosting,11,3,1.0,1.0,0.7560439560439561,0.3872506759317505,0.3718535469107551,0.5909090909090909,0.6800699300699301,0.7049180327868853,0.5,0.8571428571428571,0.7222222222222222,0.6976744186046512,0.6785714285714286,"[0.6976744186046512, 0.7222222222222222]","[0.8571428571428571, 0.5]","[0.7692307692307693, 0.5909090909090909]","[0.8571428571428571, 0.5]"
Gradient Boosting,12,3,1.0,1.0,0.7956043956043956,0.499373763083833,0.47383553766532494,0.6511627906976745,0.7306446864880778,0.7540983606557377,0.5384615384615384,0.9142857142857143,0.8235294117647058,0.7272727272727273,0.7263736263736263,"[0.7272727272727273, 0.8235294117647058]","[0.9142857142857143, 0.5384615384615384]","[0.810126582278481, 0.6511627906976745]","[0.9142857142857143, 0.5384615384615384]"
Gradient Boosting,13,3,1.0,1.0,0.8615384615384616,0.5624395232718069,0.5621203754831585,0.7450980392156863,0.7809997238331953,0.7868852459016393,0.7307692307692307,0.8285714285714286,0.76,0.8055555555555556,0.7796703296703297,"[0.8055555555555556, 0.76]","[0.8285714285714286, 0.7307692307692307]","[0.8169014084507042, 0.7450980392156863]","[0.8285714285714286, 0.7307692307692307]"
Gradient Boosting,14,3,1.0,1.0,0.7648351648351648,0.3369781934191248,0.33623503808487487,0.6296296296296297,0.6677559912854031,0.6721311475409836,0.6538461538461539,0.6857142857142857,0.6071428571428571,0.7272727272727273,0.6697802197802198,"[0.7272727272727273, 0.6071428571428571]","[0.6857142857142857, 0.6538461538461539]","[0.7058823529411765, 0.6296296296296297]","[0.6857142857142857, 0.6538461538461539]"
Gradient Boosting,15,3,1.0,1.0,0.7714932126696833,0.4935249645415256,0.4932432432432433,0.7169811320754716,0.7465502675302731,0.75,0.7307692307692307,0.7647058823529411,0.7037037037037037,0.7878787878787878,0.747737556561086,"[0.7878787878787878, 0.7037037037037037]","[0.7647058823529411, 0.7307692307692307]","[0.7761194029850746, 0.7169811320754716]","[0.7647058823529411, 0.7307692307692307]"
